Platform,PWM Type,Decoder Type,Filter Type,PWM Location,Encoder Location,Image Processing Location,Control Loop Location,Development Score
DE10-Avalon,Edge PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,CPU,86.5
DE10-Avalon,Edge PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,FPGA,81.5
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,CPU,CPU,CPU,92.5
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,CPU,CPU,FPGA,87.5
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,CPU,86.5
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,FPGA,81.5
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,CPU,92.5
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,FPGA,87.5
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,CPU,86.5
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,FPGA,81.5
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,CPU,CPU,CPU,94.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,CPU,CPU,FPGA,89.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,CPU,FPGA,CPU,88.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,CPU,FPGA,FPGA,83.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,FPGA,CPU,CPU,94.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,FPGA,CPU,FPGA,89.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,CPU,88.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,FPGA,83.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,CPU,CPU,CPU,94.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,CPU,CPU,FPGA,89.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,CPU,88.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,FPGA,83.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,CPU,94.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,FPGA,89.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,CPU,88.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,FPGA,83.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,CPU,CPU,CPU,92.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,CPU,CPU,FPGA,87.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,CPU,FPGA,CPU,86.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,CPU,FPGA,FPGA,81.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,FPGA,CPU,CPU,92.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,FPGA,CPU,FPGA,87.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,CPU,86.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,FPGA,81.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,CPU,CPU,CPU,92.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,CPU,CPU,FPGA,87.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,CPU,86.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,FPGA,81.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,CPU,92.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,FPGA,87.0
